ID_Link,Next_ID,Acum_L_m,L_m,Ah_km2,isHead,isOutlt,meanBWF_up_cms
31,14716,11316.0048,121.92,0.0298531339841,0,0,0.00020066134969325
32,11312,12916.8144,47.244,0.00826245483351,1,0,0.00010647699386503
33,607,10514.3808,69.7992,0.0064265988852,1,0,0.000143600333157274
34,3582,6223.4064,62.484,0.0257862120503,0,0,0.000122340605469869
35,12780,11062.716,45.1104,0.00533847306354,0,0,0.000251720364140113
37,12323,9023.604,73.4568,0.00715926340322,0,0,0.00256001146820084
38,4365,12916.8144,65.532,0.010887503607,1,0,0.000171339782916469
39,5752,16204.0824,55.1688,0.00327454090098,0,0,0.000397824465834565
40,902,14138.4528,32.6136,0.0162623882804,1,0,0.000121083651135798
41,10189,16108.0704,33.2232,0.0019356484498,0,0,0.000397824465834565
42,2059,12986.6136,31.3944,0.00154987828877,0,0,0.00168809032763346
43,11478,13342.62,73.4568,0.00444844722306,0,0,0.000168809032763346
44,13081,10703.3568,46.9392,0.102968649997,1,0,0.000125860182070057
45,1887,14892.8328,15.5448,0.000167226140904,0,0,0.000346212883435581
46,6351,4458.3096,27.432,0.000897222749587,0,0,0.000488119271021289
47,9443,9355.5312,54.864,0.00438122397669,0,0,0.000254889295852027
48,13380,8212.5312,49.9872,0.002783747755,1,0,0.00013991584947587
49,5353,5422.6968,70.4088,0.0177032023986,1,0,0.000125552956029431
50,3951,13186.5624,55.1688,0.00933835567132,0,0,0.000215759063022866
51,13084,4614.0624,71.0184,0.00696963219783,0,0,0.000713589690584152
52,8117,10037.9784,121.6152,0.011864069028,0,0,0.00038233394377804
53,1543,14855.0376,45.1104,0.00359244292077,0,0,0.000112557394252502
54,9431,11761.3176,20.4216,0.000446480731671,0,0,0.000929561963190179
55,3883,13257.276,17.3736,0.0108240396042,0,0,0.000215759063022866
56,4429,1987.296,59.436,0.0113568738982,1,0,0.000193604907975459
57,3012,3919.728,51.5112,0.00249198105808,0,0,0.000237863230194717
58,6142,4560.4176,39.9288,0.00158864833859,1,0,0.000122029817755322
59,741,8989.7712,56.6928,0.00708316613206,0,0,0.00019404518089559
61,1842,4593.0312,42.9768,0.00100335684542,0,0,0.000122029817755322
62,8279,4611.3192,32.3088,0.000585291493164,0,0,0.000122029817755322
